mu,seed,cell_id,n,k
0.2,40,9,205,127
0.2,40,10,783,706
0.2,40,11,200,155
0.2,41,0,743,482
0.2,41,1,185,74
0.2,41,2,819,674
0.2,41,3,207,108
0.2,41,4,801,779
0.2,41,5,205,153
0.2,41,6,802,491
0.2,41,7,201,89
0.2,41,8,806,609
0.2,41,9,173,112
0.2,41,10,842,765
0.2,41,11,216,170
0.2,42,0,773,515
0.2,42,1,179,85
0.2,42,2,792,655
0.2,42,3,193,115
0.2,42,4,816,792
0.2,42,5,214,158
0.2,42,6,845,523
0.2,42,7,207,102
0.2,42,8,770,602
0.2,42,9,218,134
0.2,42,10,805,741
0.2,42,11,188,152
0.2,43,0,846,571
0.2,43,1,177,76
0.2,43,2,827,686
0.2,43,3,194,123
0.2,43,4,798,776
0.2,43,5,201,155
0.2,43,6,817,492
0.2,43,7,182,84
0.2,43,8,771,596
0.2,43,9,197,130
0.2,43,10,805,721
0.2,43,11,185,147
0.2,44,0,795,498
0.2,44,1,191,87
0.2,44,2,768,625
0.2,44,3,200,105
0.2,44,4,826,794
0.2,44,5,175,128
0.2,44,6,861,503
0.2,44,7,214,119
0.2,44,8,762,575
0.2,44,9,191,124
0.2,44,10,814,734
0.2,44,11,203,158
0.2,45,0,815,535
0.2,45,1,200,87
0.2,45,2,781,637
0.2,45,3,199,115
0.2,45,4,803,781
0.2,45,5,191,144
0.2,45,6,745,450
0.2,45,7,230,109
0.2,45,8,812,639
0.2,45,9,192,115
0.2,45,10,839,757
0.2,45,11,193,152
0.2,46,0,835,558
0.2,46,1,193,75
0.2,46,2,843,690
0.2,46,3,198,117
0.2,46,4,808,788
0.2,46,5,199,151
0.2,46,6,778,480
0.2,46,7,202,96
0.2,46,8,755,569
0.2,46,9,194,125
0.2,46,10,819,743
0.2,46,11,176,144
0.2,47,0,829,563
0.2,47,1,233,96
0.2,47,2,760,636
0.2,47,3,214,118
0.2,47,4,790,774
0.2,47,5,212,146
0.2,47,6,776,495
0.2,47,7,221,110
0.2,47,8,821,616
0.2,47,9,208,142
0.2,47,10,735,662
0.2,47,11,201,165
0.2,48,0,797,520
0.2,48,1,203,87
0.2,48,2,802,641
0.2,48,3,210,120
0.2,48,4,770,739
0.2,48,5,203,151
0.2,48,6,818,511
0.2,48,7,197,83
0.2,48,8,810,602
0.2,48,9,192,118
0.2,48,10,817,736
0.2,48,11,181,140
0.2,49,0,795,523
0.2,49,1,200,80
0.2,49,2,848,697
0.2,49,3,215,113
0.2,49,4,778,753
0.2,49,5,168,120
0.2,49,6,793,483
0.2,49,7,203,105
0.2,49,8,808,643
0.2,49,9,197,133
0.2,49,10,786,718
0.2,49,11,209,159
0.2,50,0,780,539
0.2,50,1,197,87
0.2,50,2,786,637
0.2,50,3,189,106
0.2,50,4,824,796
0.2,50,5,234,175
0.2,50,6,813,499
0.2,50,7,176,79
0.2,50,8,796,609
0.2,50,9,186,108
0.2,50,10,808,733
0.2,50,11,211,166
0.2,51,0,852,561
0.2,51,1,203,77
0.2,51,2,771,627
0.2,51,3,203,108
0.2,51,4,766,740
0.2,51,5,191,134
0.2,51,6,797,496
0.2,51,7,172,79
0.2,51,8,830,632
0.2,51,9,197,125
0.2,51,10,816,731
0.2,51,11,202,153
0.2,52,0,815,529
0.2,52,1,220,99
0.2,52,2,783,660
0.2,52,3,215,124
0.2,52,4,762,741
0.2,52,5,222,154
0.2,52,6,799,489
0.2,52,7,207,117
0.2,52,8,764,579
0.2,52,9,200,127
0.2,52,10,814,738
0.2,52,11,199,162
0.2,53,0,762,517
0.2,53,1,190,84
0.2,53,2,779,636
0.2,53,3,207,127
0.2,53,4,823,799
0.2,53,5,189,137
0.2,53,6,778,465
0.2,53,7,219,123
0.2,53,8,791,600
0.2,53,9,208,125
0.2,53,10,861,791
0.2,53,11,193,154
0.2,54,0,789,519
0.2,54,1,188,76
0.2,54,2,785,659
0.2,54,3,181,105
0.2,54,4,808,790
0.2,54,5,204,147
0.2,54,6,784,484
0.2,54,7,197,99
0.2,54,8,831,636
0.2,54,9,209,126
0.2,54,10,823,749
0.2,54,11,201,159
0.2,55,0,804,542
0.2,55,1,200,77
0.2,55,2,801,662
0.2,55,3,189,108
0.2,55,4,794,772
0.2,55,5,193,131
0.2,55,6,763,450
0.2,55,7,216,98
0.2,55,8,872,669
0.2,55,9,198,115
0.2,55,10,774,695
0.2,55,11,196,158
0.2,56,0,751,498
0.2,56,1,230,99
0.2,56,2,831,663
0.2,56,3,214,129
0.2,56,4,824,796
0.2,56,5,182,131
0.2,56,6,811,485
0.2,56,7,205,107
0.2,56,8,767,578
0.2,56,9,196,123
0.2,56,10,781,705
0.2,56,11,208,166
0.2,57,0,826,551
0.2,57,1,211,85
0.2,57,2,815,682
0.2,57,3,196,99
0.2,57,4,794,774
0.2,57,5,192,145
0.2,57,6,741,438
0.2,57,7,208,96
0.2,57,8,800,623
0.2,57,9,211,139
0.2,57,10,811,738
0.2,57,11,195,148
0.2,58,0,776,535
0.2,58,1,205,86
0.2,58,2,810,672
0.2,58,3,209,114
0.2,58,4,790,769
0.2,58,5,215,157
0.2,58,6,739,462
0.2,58,7,201,91
0.2,58,8,841,631
0.2,58,9,222,130
0.2,58,10,808,723
0.2,58,11,184,150
0.2,59,0,800,516
0.2,59,1,195,77
0.2,59,2,805,665
0.2,59,3,175,101
0.2,59,4,764,745
0.2,59,5,202,150
0.2,59,6,797,480
0.2,59,7,210,101
0.2,59,8,831,637
0.2,59,9,208,129
0.2,59,10,807,728
0.2,59,11,206,166
0.2,60,0,823,566
0.2,60,1,176,80
0.2,60,2,815,668
0.2,60,3,225,129
0.2,60,4,804,784
0.2,60,5,181,130
0.2,60,6,794,464
0.2,60,7,208,101
0.2,60,8,813,625
0.2,60,9,207,133
0.2,60,10,764,707
0.2,60,11,190,153
0.2,61,0,787,529
0.2,61,1,192,85
0.2,61,2,781,643
0.2,61,3,208,118
0.2,61,4,799,775
0.2,61,5,184,145
0.2,61,6,813,492
0.2,61,7,177,82
0.2,61,8,833,627
0.2,61,9,188,125
0.2,61,10,829,769
0.2,61,11,209,168
0.2,62,0,805,551
0.2,62,1,197,92
0.2,62,2,797,667
0.2,62,3,210,122
0.2,62,4,798,766
0.2,62,5,193,143
0.2,62,6,822,505
0.2,62,7,211,99
0.2,62,8,824,636
0.2,62,9,181,116
0.2,62,10,757,681
0.2,62,11,205,166
0.2,63,0,789,519
0.2,63,1,195,86
0.2,63,2,808,651
0.2,63,3,208,128
0.2,63,4,779,755
0.2,63,5,209,149
0.2,63,6,797,480
0.2,63,7,206,101
0.2,63,8,832,625
0.2,63,9,189,121
0.2,63,10,798,731
0.2,63,11,190,153
0.2,64,0,853,566
0.2,64,1,192,57
0.2,64,2,805,644
0.2,64,3,226,121
0.2,64,4,794,764
0.2,64,5,198,150
0.2,64,6,828,511
0.2,64,7,220,115
0.2,64,8,750,570
0.2,64,9,176,103
0.2,64,10,764,688
0.2,64,11,194,161
0.2,65,0,776,527
0.2,65,1,210,95
0.2,65,2,853,698
0.2,65,3,208,127
0.2,65,4,800,781
0.2,65,5,209,155
0.2,65,6,834,532
0.2,65,7,185,98
0.2,65,8,788,586
0.2,65,9,211,136
0.2,65,10,744,671
0.2,65,11,182,142
0.2,66,0,772,520
0.2,66,1,198,81
0.2,66,2,788,640
0.2,66,3,197,108
0.2,66,4,790,764
0.2,66,5,189,137
0.2,66,6,816,500
0.2,66,7,203,102
0.2,66,8,837,643
0.2,66,9,195,133
0.2,66,10,793,707
0.2,66,11,222,173
0.2,67,0,824,550
0.2,67,1,212,86
0.2,67,2,815,675
0.2,67,3,200,114
0.2,67,4,749,728
0.2,67,5,209,152
0.2,67,6,802,516
0.2,67,7,200,95
0.2,67,8,827,632
0.2,67,9,189,106
0.2,67,10,786,709
0.2,67,11,187,141
0.2,68,0,791,528
0.2,68,1,229,101
0.2,68,2,778,631
0.2,68,3,220,129
0.2,68,4,769,749
0.2,68,5,213,162
0.2,68,6,801,492
0.2,68,7,207,98
0.2,68,8,812,603
0.2,68,9,215,139
0.2,68,10,766,693
0.2,68,11,199,160
0.2,69,0,815,547
0.2,69,1,198,88
0.2,69,2,815,694
0.2,69,3,181,116
0.2,69,4,778,755
0.2,69,5,228,157
0.2,69,6,751,462
0.2,69,7,196,91
0.2,69,8,792,602
0.2,69,9,228,149
0.2,69,10,804,733
0.2,69,11,214,160
0.2,70,0,790,541
0.2,70,1,188,77
0.2,70,2,818,665
0.2,70,3,202,110
0.2,70,4,783,760
0.2,70,5,207,159
0.2,70,6,804,455
0.2,70,7,190,88
0.2,70,8,804,598
0.2,70,9,200,127
0.2,70,10,799,734
0.2,70,11,215,171
0.2,71,0,791,500
0.2,71,1,207,87
0.2,71,2,828,677
0.2,71,3,221,123
0.2,71,4,780,762
0.2,71,5,194,131
0.2,71,6,828,524
0.2,71,7,194,91
0.2,71,8,793,596
0.2,71,9,202,113
0.2,71,10,784,719
0.2,71,11,178,154
0.2,72,0,803,544
0.2,72,1,206,96
0.2,72,2,834,676
0.2,72,3,219,128
0.2,72,4,759,743
0.2,72,5,222,169
0.2,72,6,813,518
0.2,72,7,200,104
0.2,72,8,760,566
0.2,72,9,237,156
0.2,72,10,767,689
0.2,72,11,180,139
0.2,73,0,821,535
0.2,73,1,185,82
0.2,73,2,814,673
0.2,73,3,214,129
0.2,73,4,793,767
0.2,73,5,197,150
0.2,73,6,792,473
0.2,73,7,204,89
0.2,73,8,835,623
0.2,73,9,194,119
0.2,73,10,767,699
0.2,73,11,184,138
0.2,74,0,815,538
0.2,74,1,209,84
0.2,74,2,757,637
0.2,74,3,228,142
0.2,74,4,785,754
0.2,74,5,200,151
0.2,74,6,783,450
0.2,74,7,185,100
0.2,74,8,812,626
0.2,74,9,205,126
0.2,74,10,813,744
0.2,74,11,208,171
0.2,75,0,808,556
0.2,75,1,171,78
0.2,75,2,819,650
0.2,75,3,196,122
0.2,75,4,795,771
0.2,75,5,226,160
0.2,75,6,791,471
0.2,75,7,198,94
0.2,75,8,817,624
0.2,75,9,204,127
0.2,75,10,770,704
0.2,75,11,205,147
0.2,76,0,812,557
0.2,76,1,194,83
0.2,76,2,789,657
0.2,76,3,200,111
0.2,76,4,812,787
0.2,76,5,205,153
0.2,76,6,818,512
0.2,76,7,192,107
0.2,76,8,775,586
0.2,76,9,209,129
0.2,76,10,788,716
0.2,76,11,206,162
0.2,77,0,779,529
0.2,77,1,201,80
0.2,77,2,806,659
0.2,77,3,205,112
0.2,77,4,788,760
0.2,77,5,197,146
0.2,77,6,848,517
0.2,77,7,215,97
0.2,77,8,789,587
0.2,77,9,207,128
0.2,77,10,783,702
0.2,77,11,182,138
0.2,78,0,782,517
0.2,78,1,200,70
0.2,78,2,800,663
0.2,78,3,207,111
0.2,78,4,809,784
0.2,78,5,214,159
0.2,78,6,811,487
0.2,78,7,214,96
0.2,78,8,822,626
0.2,78,9,184,122
0.2,78,10,753,687
0.2,78,11,204,159
0.2,79,0,842,574
0.2,79,1,198,72
0.2,79,2,808,669
0.2,79,3,185,114
0.2,79,4,798,769
0.2,79,5,201,147
0.2,79,6,763,463
0.2,79,7,196,88
0.2,79,8,802,595
0.2,79,9,191,132
0.2,79,10,786,707
0.2,79,11,230,174
0.2,80,0,756,513
0.2,80,1,187,71
0.2,80,2,841,681
0.2,80,3,195,110
0.2,80,4,810,787
0.2,80,5,217,162
0.2,80,6,826,519
0.2,80,7,204,93
0.2,80,8,792,612
0.2,80,9,192,122
0.2,80,10,775,715
